'菜谱ID','菜谱类型号','菜谱名称','做法','特性','提示','调料','原料'
'952','101','蛋花丝瓜汤','(1)丝瓜洗净，去皮切片；香菜择洗干净切段。<br>(2)油锅烧热，放入葱花炝锅，下丝瓜煸炒，加适量清水、盐煮沸后，倒入蛋花液，加香菜、味精即成。','','','味精,盐,植物油','蛋黄1个30克,丝瓜100克'
'953','101','馄饨','(1)虾仁洗净控干水，剁碎，加葱、姜、盐、味精、淀粉浆、蛋清、料酒、植物油搅打成馅。<br>(2)取皮包制馄饨，煮熟。<br>(3)碗中置虾皮、紫菜末，连汤盛入馄饨。','','','盐,味精,淀粉,料酒,植物油','馄饨皮6个50克,鲜虾仁80克,蛋清30克'
'954','101','海蜇汤菜','(1)黄瓜洗净，切片；熟炎腿切片。<br>(2)海蜇以沸水泡发后洗涤3遍，待其软嫩后，放凉开水中浸泡；再以烧沸鸡汤浸烫后捞出，盛入碗中。<br>(3)将鸡蛋和蛋清搅打，加约100克鸡汤、盐搅匀，上锅蒸熟取出。<br>(4)鸡汤加盐味精烧沸后倒入放海蜇的碗中，用勺将蒸好的鸡蛋一勺勺舀入碗中，加熟火腿片和黄瓜片即成。','','','味精,盐,鸡汤','海蜇300克,鸡蛋1个80克'
'955','101','三色鲜贝','(1)油菜叶择洗干净，入沸水锅中略焯，待用。<br>(2)鲜贝洗净，一半切片，一半放碗中捣成泥状，加蛋清、盐搅匀后制成小丸子。<br>(3)油锅烧热，将鲜贝片入锅，炸好捞出。<br>(4)锅内留少许油，加料酒、水、盐、白糖、番茄酱、味精烧开，投入鲜贝丸子烧至入味，盛盘中。<br>(5)另起油锅烧热，入鲜贝片，加盐、味精，烧至入味后盛在鲜贝丸子周围，放油菜叶点缀即成。','','','白糖,味精,淀粉,醋,植物油','鲜贝150克,蛋清1个30克,油菜叶50克'
'956','101','夹馅黄瓜','(1)黄瓜洗净，切成5厘米长的段，每段上切一十字花刀（两端不切断），在盐水中浸1小时。<br>(2)韭菜洗净切段；火腿肠切丁。<br>(3)将葱、姜、蒜、韭菜、火腿肠、白糖、盐等拌匀做馅。<br>(4)黄瓜挤去水，将馅塞进行以手压紧、放在容器中，将容器以塑料膜封好，15℃以下放置冰箱中1-2天后即可食用。食用时撕成长条。','','','盐,白糖','黄瓜300克,韭菜60克,火腿肠50克'
'957','101','萝卜丝糕','(1)萝卜洗净，擦成细丝，放适量盐稍腌，挤去部分水份。<br>(2)面粉放盘中，加葱、姜、萝卜丝、盐、味精搅成糊。<br>(3)酒盅数个，内壁抹油，将萝卜丝面糊置酒盅里抹平，放锅中稍蒸后扣出成萝卜面糕。<br>(4)油锅烧热，下萝卜面糕，炸黄即可。','','','味精,香油','面粉500克,萝卜600克'
'958','101','鸽蛋龙须面','(1)蔬菜择洗干净，生菜切小块，香菜切末。<br>(2)油锅烧热，入葱花炒香，加适量水，放海米烧开，下龙须面，磕入鸽蛋，快熟时下生菜、盐、味精，淋少许醋，撒得菜末即可。','','','醋,味精,盐','鸽蛋6个40克,龙须面200克,生菜100克,海米20克,香菜20克'
'959','101','熘黄瓜','(1)蔬菜择洗干净，黄瓜、胡萝卜、香菇切片，葱、姜切丝，蒜有刀拍碎切末。<br>(2)油锅烧至七成熟，放入葱、姜、蒜煸炒出味，下香菇、胡萝卜、黄瓜片煸炒，加酱油、糖、盐炒匀，以湿淀粉勾芡，淋香油即可。','','','白糖,淀粉,酱油,盐,植物油','嫩黄瓜300克'
'960','101','熘莲鱼丁','(1)以葱、姜、盐、湿淀粉和适量水调成滋味汁。<br>(2)鱼剖洗干净剔去骨刺切成丁，用蛋清、料酒、盐、湿淀粉浆好。<br>(3)油锅烧至六成热，下鱼丁、莲子滑炒，倒入调好的汁翻炒至熟，淋香油即可。<br>注：如无鱼莲子可用干莲子上锅蒸熟后代替。','软嫩清香','','湿淀粉,料酒,香油,盐','鲜莲子200克,青鱼400克'
'961','101','香菇烧茭白','(1)蔬菜择洗干净，均切片。<br>(2)油锅烧至五成热，先下茭白、柿子椒滑炒后盛出。<br>(3)再起油锅烧热，下葱姜炒香，先放入香菇略炒，再倒入滑炒后的茭白、柿子椒炒匀，放入料酒、糖、盐烧开，以水淀粉勾芡即成。','清淡适口','','料酒,白糖,盐,植物油','香菇100克,茭白400克'
